time_dn,ecg_projection_ll_ra_mV,ecg_projection_la_ra_mV,ecg_projection_vx_rl_mV
738504.47512130287941545248,-2.26180303353984,-5.01289407025361,-296.462370677816
738504.47512139333412051201,-2.25257118442335,-5.00366222113712,-296.480834376049
738504.47512148378882557154,-2.26180303353984,-5.01289407025361,-296.517761772515
738504.47512157424353063107,-2.25257118442335,-4.99443037202063,-296.397747734001
738504.47512166458182036877,-2.26180303353984,-5.00366222113712,-296.416211432234
738504.47512175503652542830,-2.26180303353984,-5.00366222113712,-296.397747734001
738504.47512184549123048782,-2.26180303353984,-4.99443037202063,-296.370052186651
738504.47512193594593554735,-2.27103488265633,-4.99443037202063,-296.416211432234
738504.47512202640064060688,-2.27103488265633,-4.99443037202063,-296.379284035768
738504.47512211685534566641,-2.28026673177282,-4.99443037202063,-296.4531388287
738504.47512220719363540411,-2.27103488265633,-5.00366222113712,-296.4531388287
738504.47512229764834046364,-2.2987304300058,-4.99443037202063,-296.490066225166
738504.47512238810304552317,-2.27103488265633,-4.99443037202063,-296.397747734001
738504.47512247855775058270,-2.28026673177282,-4.99443037202063,-296.42544328135
738504.47512256901245564222,-2.2987304300058,-4.99443037202063,-296.397747734001
738504.47512265935074537992,-2.30796227912229,-4.99443037202063,-296.397747734001
738504.47512274980545043945,-2.28026673177282,-5.00366222113712,-296.471602526933
738504.47512284026015549898,-2.30796227912229,-4.99443037202063,-296.416211432234
738504.47512293071486055851,-2.31719412823878,-5.0221259193701,-296.397747734001
738504.47512302116956561804,-2.28949858088931,-5.09598071230201,-296.42544328135
738504.47512311162427067757,-2.27103488265633,-5.0221259193701,-296.406979583117
738504.47512320196256041527,-2.2987304300058,-4.98519852290414,-296.370052186651
738504.47512329241726547480,-2.32642597735527,-4.92980742820521,-296.379284035768
738504.47512338287197053432,-2.2987304300058,-4.94827112643818,-296.4531388287
738504.47512347332667559385,-2.32642597735527,-4.99443037202063,-296.360820337535
738504.47512356378138065338,-2.30796227912229,-4.96673482467116,-296.406979583117
738504.47512365411967039108,-2.27103488265633,-4.92057557908872,-296.462370677816
738504.47512374457437545061,-2.28949858088931,-5.08674886318552,-296.499298074282
738504.47512383502908051014,-2.34488967558824,-5.15137180700095,-296.526993621632
738504.47512392548378556967,-2.33565782647175,-4.96673482467116,-296.416211432234
738504.47512401593849062920,-2.30796227912229,-4.92057557908872,-296.471602526933
738504.47512410639319568872,-2.34488967558824,-5.01289407025361,-296.490066225166
738504.47512419673148542643,-2.35412152470473,-4.97596667378765,-296.4531388287
738504.47512428718619048595,-2.33565782647175,-4.95750297555467,-296.499298074282
738504.47512437764089554548,-2.31719412823878,-4.94827112643818,-296.517761772515
738504.47512446809560060501,-2.32642597735527,-4.95750297555467,-296.499298074282
738504.47512455855030566454,-2.33565782647175,-4.97596667378765,-296.480834376049
738504.47512464900501072407,-2.2987304300058,-4.94827112643818,-296.471602526933
738504.47512473934330046177,-2.27103488265633,-4.9390392773217,-296.526993621632
738504.47512482979800552130,-2.33565782647175,-4.98519852290414,-296.490066225166
738504.47512492025271058083,-2.35412152470473,-5.01289407025361,-296.471602526933
738504.47512501070741564035,-2.34488967558824,-5.00366222113712,-296.526993621632
738504.47512510116212069988,-2.34488967558824,-5.00366222113712,-296.526993621632
738504.47512519150041043758,-2.32642597735527,-4.98519852290414,-296.471602526933
738504.47512528195511549711,-2.34488967558824,-4.99443037202063,-296.526993621632
738504.47512537240982055664,-2.33565782647175,-4.99443037202063,-296.536225470748
738504.47512546286452561617,-2.32642597735527,-4.98519852290414,-296.434675130467
738504.47512555331923067570,-2.32642597735527,-4.98519852290414,-296.42544328135
738504.47512564377393573523,-2.31719412823878,-4.96673482467116,-296.443906979583
738504.47512573411222547293,-2.32642597735527,-4.98519852290414,-296.443906979583
738504.47512582456693053246,-2.32642597735527,-4.99443037202063,-296.443906979583
738504.47512591502163559198,-2.33565782647175,-5.04058961760308,-296.443906979583
738504.47512600547634065151,-2.32642597735527,-5.01289407025361,-296.416211432234
738504.47512609593104571104,-2.32642597735527,-5.03135776848659,-296.42544328135
738504.47512618626933544874,-2.33565782647175,-4.98519852290414,-296.416211432234
738504.47512627672404050827,-2.33565782647175,-4.96673482467116,-296.406979583117
738504.47512636717874556780,-2.32642597735527,-5.1052125614185,-296.42544328135
738504.47512645763345062733,-2.31719412823878,-4.99443037202063,-296.416211432234
738504.47512654808815568686,-2.28949858088931,-4.89288003173925,-296.397747734001
738504.47512663854286074638,-2.25257118442335,-4.92057557908872,-296.434675130467
738504.47512672888115048409,-2.24333933530686,-4.94827112643818,-296.462370677816
738504.47512681933585554361,-2.25257118442335,-4.96673482467116,-296.462370677816
738504.47512690979056060314,-2.20641193884091,-4.92980742820521,-296.490066225166
738504.47512700024526566267,-2.19718008972442,-5.05905331583605,-296.434675130467
738504.47512709069997072220,-2.18794824060793,-5.0221259193701,-296.42544328135
