time_dn,respiration_trace_mV
738509.42130135814659297466,5.38216803491317
738509.42130144860129803419,5.39139988402966
738509.42130153905600309372,5.38216803491317
738509.42130162951070815325,5.39139988402966
738509.42130171996541321278,5.38216803491317
738509.42130181042011827230,5.40063173314615
738509.42130190075840801001,5.40986358226264
738509.42130199121311306953,5.39139988402966
738509.42130208166781812906,5.38216803491317
738509.42130217212252318859,5.40063173314615
738509.42130226257722824812,5.40986358226264
738509.42130235303193330765,5.40063173314615
738509.42130244348663836718,5.41909543137913
738509.42130253394134342670,5.45602282784509
738509.42130262439604848623,5.49295022431104
738509.42130271485075354576,5.53910946989349
738509.42130280518904328346,5.45602282784509
738509.42130289564374834299,5.47448652607807
738509.42130298609845340252,5.42832728049562
738509.42130307655315846205,5.30831324198126
738509.42130316700786352158,5.31754509109775
738509.42130325746256858110,5.30831324198126
738509.42130334791727364063,5.32677694021424
738509.42130343837197870016,5.3637043366802
738509.42130352882668375969,5.39139988402966
738509.42130361928138881922,5.37293618579669
738509.42130370961967855692,5.40063173314615
738509.42130380007438361645,5.40986358226264
738509.42130389052908867598,5.40063173314615
738509.42130398098379373550,5.41909543137913
738509.42130407143849879503,5.39139988402966
738509.42130416189320385456,5.38216803491317
738509.42130425234790891409,5.40986358226264
738509.42130434280261397362,5.41909543137913
738509.42130443325731903315,5.40986358226264
738509.42130452359560877085,5.41909543137913
738509.42130461405031383038,5.42832728049562
738509.42130470450501888990,5.43755912961211
738509.42130479495972394943,5.42832728049562
738509.42130488541442900896,5.41909543137913
738509.42130497586913406849,5.41909543137913
738509.42130506632383912802,5.41909543137913
738509.42130515677854418755,5.42832728049562
738509.42130524723324924707,5.42832728049562
738509.42130533768795430660,5.42832728049562
738509.42130542802624404430,5.41909543137913
738509.42130551848094910383,5.41909543137913
738509.42130560893565416336,5.40063173314615
738509.42130569939035922289,5.37293618579669
738509.42130578984506428242,5.35447248756371
738509.42130588029976934195,5.34524063844722
738509.42130597075447440147,5.34524063844722
738509.42130606120917946100,5.3637043366802
738509.42130615166388452053,5.37293618579669
738509.42130624211858958006,5.37293618579669
738509.42130633245687931776,5.3637043366802
738509.42130642291158437729,5.39139988402966
738509.42130651336628943682,5.38216803491317
738509.42130660382099449635,5.40063173314615
738509.42130669427569955587,5.38216803491317
738509.42130678473040461540,5.37293618579669
738509.42130687518510967493,5.37293618579669
738509.42130696563981473446,5.38216803491317
738509.42130705609451979399,5.38216803491317
738509.42130714654922485352,5.38216803491317
738509.42130723688751459122,5.40063173314615
738509.42130732734221965075,5.39139988402966
738509.42130741779692471027,5.38216803491317
738509.42130750825162976980,5.38216803491317
738509.42130759870633482933,5.40063173314615
738509.42130768916103988886,5.39139988402966
738509.42130777961574494839,5.38216803491317
738509.42130787007045000792,5.39139988402966
738509.42130796052515506744,5.39139988402966
738509.42130805086344480515,5.40063173314615
738509.42130814131814986467,5.3637043366802
738509.42130823177285492420,5.37293618579669
738509.42130832222755998373,5.40063173314615
738509.42130841268226504326,5.38216803491317
738509.42130850313697010279,5.39139988402966
738509.42130859359167516232,5.39139988402966
738509.42130868404638022184,5.39139988402966
738509.42130877450108528137,5.39139988402966
738509.42130886495579034090,5.39139988402966
738509.42130895529408007860,5.41909543137913
738509.42130904574878513813,5.40986358226264
738509.42130913620349019766,5.42832728049562
738509.42130922665819525719,5.40063173314615
738509.42130931711290031672,5.38216803491317
738509.42130940756760537624,5.40063173314615
738509.42130949802231043577,5.40063173314615
738509.42130958847701549530,5.40063173314615
738509.42130967893172055483,5.39139988402966
738509.42130976938642561436,5.38216803491317
738509.42130985972471535206,5.38216803491317
738509.42130995017942041159,5.3637043366802
738509.42131004063412547112,5.37293618579669
738509.42131013108883053064,5.39139988402966
738509.42131022154353559017,5.39139988402966
738509.42131031199824064970,5.40063173314615
738509.42131040245294570923,5.40063173314615
738509.42131049290765076876,5.40986358226264
738509.42131058336235582829,5.40063173314615
738509.42131067370064556599,5.40063173314615
738509.42131076415535062551,5.42832728049562
738509.42131085461005568504,5.4467909787286
738509.42131094506476074457,5.49295022431104
738509.42131103551946580410,5.50218207342753
738509.42131112597417086363,5.43755912961211
738509.42131121642887592316,5.52064577166051
738509.42131130688358098269,5.30831324198126
738509.42131139733828604221,5.28984954374828
738509.42131148779299110174,5.28984954374828
738509.42131157813128083944,5.30831324198126
738509.42131166858598589897,5.35447248756371
738509.42131175904069095850,5.37293618579669
738509.42131184949539601803,5.37293618579669
738509.42131193995010107756,5.37293618579669
738509.42131203040480613708,5.40063173314615
738509.42131212085951119661,5.40063173314615
738509.42131221131421625614,5.40063173314615
738509.42131230176892131567,5.39139988402966
738509.42131239222362637520,5.39139988402966
738509.42131248256191611290,5.39139988402966
738509.42131257301662117243,5.39139988402966
738509.42131266347132623196,5.40063173314615
738509.42131275392603129148,5.38216803491317
738509.42131284438073635101,5.40063173314615
738509.42131293483544141054,5.39139988402966
738509.42131302529014647007,5.40063173314615
738509.42131311574485152960,5.40986358226264
738509.42131320619955658913,5.42832728049562
738509.42131329665426164865,5.40986358226264
738509.42131338699255138636,5.41909543137913
738509.42131347744725644588,5.40986358226264
738509.42131356790196150541,5.41909543137913
738509.42131365835666656494,5.40063173314615
738509.42131374881137162447,5.39139988402966
738509.42131383926607668400,5.38216803491317
738509.42131392972078174353,5.37293618579669
738509.42131402017548680305,5.3637043366802
738509.42131411063019186258,5.34524063844722
738509.42131420096848160028,5.33600878933073
738509.42131429142318665981,5.34524063844722
738509.42131438187789171934,5.35447248756371
738509.42131447233259677887,5.35447248756371
738509.42131456278730183840,5.3637043366802
738509.42131465324200689793,5.3637043366802
