time_dn,glideslope_error_deg,localizer_error_deg,airspeed_error_kts,total_error
738279.53516618,-0.1378,-0.0122,-0.8823,1.0323
738279.535168285,-0.1393,-0.0121,-0.8547,1.0061
738279.535170393,-0.1409,-0.0121,-0.8401,0.9931
738279.535172514,-0.1425,-0.0119,-0.8334,0.9878
738279.535174728,-0.1447,-0.0128,-0.8315,0.989
738279.535176783,-0.1467,-0.0128,-0.8321,0.9916
738279.535179017,-0.1491,-0.0124,-0.8339,0.9954
738279.53518135,-0.1518,-0.0124,-0.8355,0.9997
738279.53518356,-0.1547,-0.012,-0.8363,1.003
738279.535185721,-0.1574,-0.0116,-0.8355,1.0045
738279.535187811,-0.1603,-0.0116,-0.833,1.0049
738279.535189907,-0.1634,-0.0115,-0.8286,1.0035
738279.535192114,-0.1666,-0.0113,-0.8218,0.9997
738279.53519421,-0.17,-0.0113,-0.8129,0.9942
738279.535196478,-0.1734,-0.0109,-0.8012,0.9855
738279.535198601,-0.177,-0.0109,-0.7883,0.9762
738279.535200804,-0.1806,-0.0098,-0.7738,0.9642
738279.53520312,-0.1844,-0.0092,-0.757,0.9506
738279.535205418,-0.1884,-0.0089,-0.7397,0.937
738279.535207736,-0.1925,-0.0085,-0.7219,0.9229
738279.535209938,-0.1964,-0.0083,-0.705,0.9097
738279.535212099,-0.2,-0.0079,-0.6881,0.896
738279.535214229,-0.2039,-0.0069,-0.6717,0.8825
738279.535216468,-0.2077,-0.0066,-0.6543,0.8686
738279.535218767,-0.2113,-0.0064,-0.6382,0.8559
738279.535220997,-0.2154,-0.0052,-0.6211,0.8417
738279.535223221,-0.2192,-0.0048,-0.6041,0.8281
738279.535225409,-0.2231,-0.0046,-0.5876,0.8153
738279.535227662,-0.227,-0.0043,-0.5709,0.8022
738279.535229903,-0.2308,-0.0029,-0.5544,0.7881
738279.53523218,-0.2346,-0.0026,-0.5382,0.7754
738279.535234401,-0.2382,-0.0022,-0.5225,0.7629
738279.535236678,-0.242,-0.0009,-0.5066,0.7495
738279.535238993,-0.2456,-0.0003,-0.4906,0.7365
738279.535241288,-0.2492,-0.0002,-0.4746,0.724
738279.5352435,-0.2525,-0.0006,-0.4592,0.7123
738279.535245699,-0.256,-0.0008,-0.4433,0.7001
738279.535248023,-0.2593,-0.0023,-0.4261,0.6877
738279.535250236,-0.2623,-0.0027,-0.4094,0.6744
738279.535252558,-0.2655,-0.0032,-0.3914,0.6601
738279.53525487,-0.2683,-0.0038,-0.3739,0.646
738279.535257236,-0.2713,-0.0043,-0.356,0.6316
738279.535259498,-0.2739,-0.0058,-0.3389,0.6186
738279.535261844,-0.2766,-0.0064,-0.3219,0.6049
738279.535264166,-0.279,-0.0069,-0.3056,0.5915
738279.535266452,-0.2814,-0.0073,-0.2905,0.5792
738279.535268607,-0.2834,-0.0077,-0.2764,0.5675
