time_dn,glideslope_error_deg,localizer_error_deg,airspeed_error_kts,total_error
738254.529271478,-0.0976,0.1816,-0.0264,0.3056
738254.529273605,-0.0965,0.1813,-0.1459,0.4237
738254.529275781,-0.0943,0.1805,-0.3308,0.6056
738254.529277965,-0.0926,0.1805,-0.4559,0.729
738254.529280164,-0.0906,0.1798,-0.5231,0.7935
738254.529282393,-0.0888,0.179,-0.5411,0.8089
738254.529284581,-0.087,0.1791,-0.5397,0.8058
738254.529286805,-0.0852,0.1785,-0.5447,0.8084
738254.529288934,-0.0842,0.1775,-0.5596,0.8213
738254.529291184,-0.0833,0.1767,-0.575,0.835
738254.529293205,-0.0825,0.1767,-0.5737,0.8329
738254.529295514,-0.0817,0.176,-0.5423,0.8
738254.529297997,-0.081,0.1746,-0.4844,0.74
738254.529300343,-0.0806,0.1742,-0.4363,0.6911
738254.529302653,-0.0803,0.1735,-0.4185,0.6723
738254.529304942,-0.0802,0.1729,-0.4117,0.6648
738254.529307156,-0.0805,0.1721,-0.3899,0.6425
738254.529309352,-0.0807,0.1714,-0.3506,0.6027
738254.529311611,-0.0807,0.1697,-0.3102,0.5606
738254.529313838,-0.0807,0.1689,-0.2873,0.5369
738254.529316052,-0.0809,0.1682,-0.2756,0.5247
738254.52931826,-0.0812,0.1665,-0.2562,0.5039
738254.52932043,-0.0813,0.1657,-0.2218,0.4688
738254.529322753,-0.0815,0.1641,-0.1819,0.4275
738254.529324992,-0.0818,0.1635,-0.1597,0.405
738254.529327289,-0.0824,0.1619,-0.1672,0.4115
738254.529329574,-0.0828,0.1603,-0.1828,0.4259
738254.529331788,-0.0835,0.1586,-0.181,0.4231
738254.529334108,-0.0844,0.157,-0.1602,0.4016
738254.529336163,-0.0851,0.156,-0.148,0.3891
738254.529338299,-0.0859,0.1541,-0.1562,0.3962
738254.529340394,-0.087,0.1523,-0.1749,0.4142
738254.529342855,-0.0884,0.15,-0.1787,0.4171
738254.529344898,-0.0893,0.1492,-0.1636,0.4021
738254.529347165,-0.0905,0.1467,-0.1506,0.3878
738254.52934933,-0.0919,0.1449,-0.1633,0.4001
738254.529351544,-0.0935,0.1433,-0.2112,0.448
738254.529353732,-0.0955,0.1416,-0.2845,0.5216
738254.529355888,-0.0976,0.1398,-0.3604,0.5978
738254.529358145,-0.0995,0.1371,-0.3917,0.6283
738254.529360405,-0.102,0.1355,-0.3699,0.6074
738254.529362659,-0.1041,0.133,-0.3372,0.5743
738254.529364939,-0.1064,0.1314,-0.2997,0.5375
738254.529367099,-0.1089,0.1296,-0.2447,0.4832
738254.529369298,-0.1108,0.128,-0.1759,0.4147
738254.529371711,-0.1127,0.1253,-0.1162,0.3542
738254.529374022,-0.1146,0.1239,-0.0823,0.3208
738254.529376319,-0.1167,0.1213,-0.07,0.308
738254.529378506,-0.1181,0.1197,-0.0512,0.289
738254.529380622,-0.1193,0.118,-0.017,0.2543
738254.529382837,-0.1208,0.1162,0.0134,0.2504
738254.529385075,-0.122,0.1136,0.007,0.2426
738254.529387373,-0.1229,0.1122,-0.0396,0.2747
738254.529389604,-0.1239,0.1095,-0.0958,0.3292
738254.529391855,-0.1248,0.1079,-0.1379,0.3706
738254.529394064,-0.1253,0.1062,-0.1578,0.3893
738254.529396206,-0.1254,0.1035,-0.168,0.3969
738254.529398421,-0.1256,0.1019,-0.1829,0.4104
738254.529400614,-0.126,0.0992,-0.1968,0.422
738254.529402871,-0.1261,0.0975,-0.1952,0.4188
738254.529405,-0.1259,0.095,-0.1798,0.4007
738254.529407189,-0.126,0.0932,-0.1693,0.3885
738254.529409493,-0.1263,0.0906,-0.1805,0.3974
738254.529411709,-0.1263,0.089,-0.2087,0.424
738254.529413941,-0.1266,0.0862,-0.2257,0.4385
738254.52941609,-0.1269,0.0844,-0.2128,0.4241
738254.529418281,-0.1273,0.0817,-0.188,0.397
738254.529420539,-0.1276,0.08,-0.1765,0.3841
738254.529422714,-0.1279,0.0775,-0.1969,0.4023
738254.529424899,-0.1287,0.0757,-0.2396,0.444
738254.529427139,-0.1296,0.0731,-0.2795,0.4822
738254.529429374,-0.1306,0.0705,-0.2866,0.4877
738254.529431569,-0.1316,0.0687,-0.257,0.4573
738254.529433799,-0.1323,0.0661,-0.2101,0.4085
738254.529436152,-0.1334,0.0635,-0.1722,0.3691
738254.529438486,-0.1343,0.0611,-0.1538,0.3492
738254.52944078,-0.1353,0.0585,-0.1315,0.3253
738254.529443039,-0.1362,0.056,-0.0923,0.2845
738254.529445278,-0.1375,0.0532,-0.067,0.2577
738254.529447461,-0.1384,0.0506,-0.0737,0.2627
738254.529449594,-0.1397,0.0488,-0.0931,0.2816
