time_dn,glideslope_error_deg,localizer_error_deg,airspeed_error_kts,total_error
738254.535152211,-0.2313,-0.1252,0.233,0.5895
738254.535154474,-0.2338,-0.1254,0.1647,0.5239
738254.535156724,-0.2371,-0.1255,0.1405,0.5031
738254.535158943,-0.2408,-0.1254,0.1655,0.5317
738254.535161308,-0.2455,-0.1254,0.2044,0.5753
738254.535163586,-0.2505,-0.1246,0.2213,0.5964
738254.535165893,-0.256,-0.1244,0.225,0.6054
738254.535168373,-0.2629,-0.1251,0.2359,0.6239
738254.535170781,-0.2697,-0.1249,0.2791,0.6737
738254.535173215,-0.2772,-0.1247,0.3463,0.7482
738254.535175698,-0.2854,-0.1253,0.3999,0.8106
738254.535178049,-0.2929,-0.1251,0.4438,0.8618
738254.535180325,-0.3005,-0.1252,0.5145,0.9402
738254.535182596,-0.3085,-0.125,0.6068,1.0403
738254.535184857,-0.3164,-0.125,0.6645,1.1059
738254.535187134,-0.3245,-0.1251,0.6767,1.1263
738254.535189351,-0.3326,-0.126,0.6815,1.1401
738254.535191585,-0.3405,-0.1259,0.7118,1.1782
738254.53519385,-0.3483,-0.126,0.7465,1.2208
738254.535196188,-0.3569,-0.1258,0.7406,1.2233
738254.535198473,-0.3648,-0.1266,0.7091,1.2005
738254.535200816,-0.3728,-0.1265,0.7077,1.207
738254.535203171,-0.3806,-0.1273,0.7257,1.2336
738254.53520547,-0.3877,-0.1269,0.7251,1.2397
738254.53520776,-0.3947,-0.1268,0.6852,1.2067
738254.53521003,-0.4013,-0.1277,0.6058,1.1348
738254.53521234,-0.4073,-0.1275,0.5098,1.0446
738254.535214639,-0.4131,-0.1273,0.4441,0.9845
738254.535216971,-0.4184,-0.1282,0.4382,0.9848
738254.535219401,-0.4228,-0.1279,0.4668,1.0175
738254.535221714,-0.4259,-0.1286,0.4793,1.0338
738254.535224105,-0.4287,-0.1282,0.4682,1.0251
738254.535226607,-0.4307,-0.1288,0.4568,1.0163
738254.535229143,-0.4311,-0.1282,0.4448,1.0041
738254.535231696,-0.4314,-0.1285,0.3926,0.9525
738254.535234276,-0.4301,-0.129,0.3354,0.8945
738254.535236812,-0.4276,-0.1285,0.3435,0.8996
738254.53523932,-0.4241,-0.128,0.4048,0.9569
738254.535241894,-0.4193,-0.1284,0.4513,0.999
738254.535244369,-0.4143,-0.128,0.4549,0.9972
738254.535247303,-0.4084,-0.1273,0.4529,0.9886
738254.53524991,-0.4017,-0.1266,0.47,0.9983
738254.53525247,-0.3949,-0.127,0.4749,0.9968
738254.53525497,-0.3888,-0.1267,0.4334,0.9489
738254.535257377,-0.3833,-0.1263,0.3494,0.859
738254.535259828,-0.3784,-0.127,0.2645,0.7699
738254.535262231,-0.3743,-0.1268,0.2257,0.7268
738254.535264726,-0.3708,-0.1264,0.1999,0.6971
738254.53526712,-0.3681,-0.1264,0.1333,0.6278
738254.535269484,-0.3663,-0.1271,0.0471,0.5405
738254.535271765,-0.3655,-0.1271,-0.0028,0.4954
738254.5352742,-0.365,-0.1269,-0.0049,0.4968
738254.535276657,-0.3652,-0.1267,0.0117,0.5036
738254.53527906,-0.3661,-0.1265,0.0115,0.5041
738254.53528144,-0.368,-0.1272,0.0026,0.4978
738254.535283908,-0.3704,-0.1272,0.0241,0.5217
738254.535286261,-0.3734,-0.1269,0.0757,0.576
738254.535288671,-0.3776,-0.1267,0.1089,0.6132
738254.535291103,-0.3821,-0.1265,0.0889,0.5975
738254.535293522,-0.3876,-0.1273,0.0458,0.5607
738254.535296003,-0.3945,-0.1269,0.0348,0.5562
738254.53529834,-0.4011,-0.1268,0.047,0.5749
738254.535300698,-0.4077,-0.1266,0.0408,0.5751
738254.535303074,-0.4161,-0.1266,0.0389,0.5816
738254.535305441,-0.4238,-0.1254,0.0852,0.6344
738254.535307701,-0.4315,-0.1254,0.1369,0.6938
738254.535310034,-0.4404,-0.1253,0.1342,0.6999
738254.535312382,-0.4496,-0.1244,0.0775,0.6515
738254.535314634,-0.4587,-0.1243,0.0305,0.6135
738254.535317225,-0.469,-0.1238,0.0505,0.6433
738254.535319814,-0.4795,-0.1232,0.1376,0.7403
738254.535322099,-0.4875,-0.1224,0.2161,0.826
738254.535324334,-0.4959,-0.1216,0.2852,0.9027
738254.535326968,-0.5049,-0.1208,0.3664,0.9921
738254.535329182,-0.5118,-0.121,0.4609,1.0937
738254.535331782,-0.5183,-0.1193,0.5912,1.2288
738254.535334246,-0.5231,-0.1189,0.6652,1.3072
738254.535336654,-0.5269,-0.1176,0.6559,1.3004
738254.535339129,-0.5294,-0.1172,0.6147,1.2613
738254.535341779,-0.5312,-0.1155,0.5914,1.2381
738254.535344324,-0.532,-0.1149,0.5778,1.2247
738254.535346925,-0.5312,-0.1144,0.5573,1.2029
738254.535349526,-0.5295,-0.1138,0.5401,1.1834
738254.53535207,-0.5273,-0.1123,0.5646,1.2042
738254.53535478,-0.5243,-0.1116,0.658,1.2939
738254.535357456,-0.5206,-0.1107,0.7764,1.4077
738254.535360065,-0.5178,-0.1101,0.8207,1.4486
738254.535362718,-0.5146,-0.1086,0.8347,1.4579
