time_dn,glideslope_error_deg,localizer_error_deg,airspeed_error_kts,total_error
738505.486710718,-0.1308,-0.0082,-0.4078,0.5468
738505.486712802,-0.1309,-0.0091,-2.7016,2.8416
738505.486714915,-0.1307,-0.0098,-3,3.1405
738505.486717129,-0.1306,-0.0096,-3,3.1402
738505.486719222,-0.1304,-0.0103,-3,3.1407
738505.486721441,-0.13,-0.0109,-3,3.1409
738505.486723683,-0.1297,-0.0114,-2.5768,2.7179
738505.486725875,-0.1297,-0.0112,-2.1655,2.3064
738505.486728079,-0.1299,-0.0119,-1.8171,1.9589
738505.486730263,-0.1301,-0.0127,-1.5453,1.6881
738505.486732502,-0.1306,-0.0125,-1.3333,1.4764
738505.486734608,-0.1311,-0.0132,-1.186,1.3303
738505.486736898,-0.1322,-0.013,-1.0756,1.2208
738505.486739038,-0.1333,-0.0137,-1.0062,1.1532
738505.486741205,-0.1348,-0.0137,-0.9625,1.111
738505.48674333,-0.1362,-0.0144,-0.9361,1.0867
738505.486745488,-0.1382,-0.0144,-0.9206,1.0732
738505.486747669,-0.1402,-0.0151,-0.9116,1.0669
738505.486749953,-0.1426,-0.0149,-0.9063,1.0638
738505.486752257,-0.1453,-0.0154,-0.9022,1.0629
738505.486754597,-0.1483,-0.0162,-0.8979,1.0624
738505.486756964,-0.1513,-0.0156,-0.8927,1.0596
738505.486759225,-0.1545,-0.0162,-0.8869,1.0576
738505.48676147,-0.1579,-0.0169,-0.8811,1.0559
738505.486763786,-0.1615,-0.0166,-0.8752,1.0533
738505.486766023,-0.1648,-0.0173,-0.8703,1.0524
738505.48676817,-0.1682,-0.0171,-0.8661,1.0514
738505.486770381,-0.1717,-0.018,-0.8627,1.0524
738505.486772654,-0.1753,-0.0176,-0.8598,1.0527
738505.486774923,-0.179,-0.0183,-0.8577,1.055
738505.486777032,-0.1825,-0.0181,-0.8564,1.057
738505.486779264,-0.1861,-0.0189,-0.8556,1.0606
738505.486781418,-0.1898,-0.0187,-0.8556,1.0641
738505.486783578,-0.1933,-0.0186,-0.8561,1.068
738505.486785804,-0.197,-0.0194,-0.8572,1.0736
738505.486787956,-0.2006,-0.0192,-0.8586,1.0784
738505.486790147,-0.2044,-0.0201,-0.8604,1.0849
738505.48679235,-0.2076,-0.0202,-0.8621,1.0899
738505.486794499,-0.2116,-0.0202,-0.8641,1.0959
738505.486796767,-0.2153,-0.0198,-0.8662,1.1013
738505.48679896,-0.2193,-0.0205,-0.8684,1.1082
738505.486801071,-0.2232,-0.0205,-0.8704,1.1141
738505.486803259,-0.2273,-0.0214,-0.8723,1.121
738505.486805425,-0.2314,-0.0212,-0.8742,1.1268
738505.486807636,-0.2355,-0.021,-0.8762,1.1327
738505.486809851,-0.2395,-0.0217,-0.8781,1.1393
738505.48681204,-0.2437,-0.0215,-0.8803,1.1455
738505.486814277,-0.2479,-0.0224,-0.8827,1.153
738505.486816426,-0.2518,-0.0222,-0.8853,1.1593
738505.486818662,-0.2558,-0.022,-0.8882,1.166
738505.486820904,-0.2598,-0.0228,-0.8913,1.1739
738505.486823063,-0.2636,-0.0226,-0.8943,1.1805
738505.486825271,-0.2675,-0.0235,-0.8974,1.1884
738505.486827415,-0.2712,-0.0233,-0.9005,1.195
738505.48682964,-0.2751,-0.0231,-0.9037,1.2019
738505.486831797,-0.2792,-0.024,-0.9067,1.2099
738505.486834014,-0.2829,-0.0238,-0.9094,1.2161
738505.486836207,-0.2868,-0.0236,-0.9118,1.2222
738505.486838429,-0.2908,-0.0243,-0.9135,1.2286
738505.486840627,-0.2948,-0.0243,-0.9142,1.2333
738505.486842851,-0.2987,-0.0241,-0.9137,1.2365
738505.486844989,-0.3025,-0.0248,-0.9114,1.2387
738505.486847263,-0.3065,-0.0246,-0.907,1.2381
738505.486849502,-0.3102,-0.0244,-0.9009,1.2355
738505.486851595,-0.3134,-0.0252,-0.8936,1.2322
738505.486853745,-0.3164,-0.0251,-0.8855,1.227
738505.486855825,-0.3192,-0.0251,-0.8768,1.2211
738505.486857984,-0.3216,-0.0249,-0.8675,1.214
738505.486860191,-0.324,-0.0258,-0.8581,1.2079
738505.486862392,-0.3259,-0.0256,-0.849,1.2005
738505.486864741,-0.3277,-0.0262,-0.8397,1.1936
738505.486867033,-0.3289,-0.0268,-0.8315,1.1872
738505.486869215,-0.3298,-0.0266,-0.8248,1.1812
738505.486871403,-0.3302,-0.0273,-0.8194,1.1769
738505.486873654,-0.3302,-0.0271,-0.8153,1.1726
738505.486875818,-0.3298,-0.0278,-0.8128,1.1704
738505.486878095,-0.3289,-0.0286,-0.8121,1.1696
738505.486880274,-0.3275,-0.0284,-0.8134,1.1693
738505.486882566,-0.3253,-0.029,-0.8169,1.1712
738505.486884748,-0.3227,-0.0288,-0.8219,1.1734
738505.486886946,-0.3198,-0.0295,-0.8285,1.1778
738505.486889232,-0.3165,-0.0303,-0.8368,1.1836
738505.48689142,-0.3128,-0.0301,-0.8462,1.1891
738505.486893621,-0.3088,-0.0308,-0.857,1.1966
738505.486895847,-0.3046,-0.0306,-0.8687,1.2039
738505.48689798,-0.3004,-0.0315,-0.8813,1.2132
738505.486900179,-0.2959,-0.0313,-0.8941,1.2213
738505.486902391,-0.2913,-0.0321,-0.9082,1.2316
738505.486904679,-0.2866,-0.0319,-0.9223,1.2408
738505.486906941,-0.2819,-0.0326,-0.937,1.2515
738505.486909043,-0.2775,-0.0336,-0.951,1.2621
738505.486911253,-0.2729,-0.0334,-0.965,1.2713
738505.486913504,-0.2683,-0.0341,-0.9795,1.2819
738505.486915753,-0.2638,-0.0339,-0.9935,1.2912
738505.486917957,-0.2596,-0.0348,-1.0074,1.3018
738505.486920294,-0.255,-0.0354,-1.0213,1.3117
738505.486922548,-0.2507,-0.0352,-1.0347,1.3206
738505.486924861,-0.2465,-0.036,-1.0479,1.3304
738505.486927143,-0.2424,-0.0367,-1.0604,1.3395
738505.486929435,-0.2382,-0.0364,-1.0728,1.3474
738505.486931761,-0.2343,-0.0371,-1.0845,1.3559
738505.486934063,-0.2306,-0.0379,-1.096,1.3645
738505.486936285,-0.2269,-0.0377,-1.1064,1.371
738505.486938511,-0.2236,-0.0377,-1.1162,1.3775
738505.48694073,-0.2202,-0.0384,-1.1256,1.3842
738505.486942971,-0.2169,-0.0382,-1.1344,1.3895
738505.486945218,-0.2137,-0.039,-1.1428,1.3955
738505.486947547,-0.2108,-0.0388,-1.151,1.4006
738505.486949831,-0.2079,-0.0395,-1.1583,1.4057
738505.486952035,-0.2054,-0.0395,-1.1648,1.4097
738505.486954286,-0.2028,-0.0403,-1.1711,1.4142
738505.48695647,-0.2003,-0.0401,-1.1766,1.417
738505.486958669,-0.1981,-0.041,-1.1815,1.4206
738505.486960909,-0.1961,-0.041,-1.1858,1.4229
738505.486963111,-0.1939,-0.0417,-1.1898,1.4254
738505.486965301,-0.1921,-0.0417,-1.1931,1.4269
738505.486967501,-0.1904,-0.0417,-1.1959,1.428
738505.486969732,-0.1886,-0.0424,-1.1982,1.4292
738505.486971902,-0.1871,-0.0434,-1.2001,1.4306
738505.486974123,-0.1858,-0.0434,-1.2015,1.4307
738505.486976364,-0.1844,-0.0441,-1.2023,1.4308
738505.486978647,-0.183,-0.0439,-1.202,1.4289
738505.48698097,-0.1819,-0.0447,-1.2001,1.4267
738505.486983274,-0.1809,-0.0455,-1.1962,1.4226
738505.486985475,-0.1797,-0.0462,-1.1905,1.4164
738505.486987713,-0.1786,-0.046,-1.1832,1.4078
738505.486989935,-0.1777,-0.047,-1.1746,1.3993
738505.486992137,-0.1765,-0.0477,-1.1648,1.389
738505.486994271,-0.1756,-0.0477,-1.1544,1.3777
738505.48699646,-0.1747,-0.0487,-1.1432,1.3666
738505.4869987,-0.1736,-0.0485,-1.1311,1.3532
738505.487000889,-0.1728,-0.0494,-1.1188,1.341
738505.487003182,-0.1718,-0.0502,-1.106,1.328
738505.48700539,-0.1707,-0.05,-1.0933,1.314
738505.487007545,-0.1697,-0.0508,-1.0805,1.301
738505.487009758,-0.1689,-0.0507,-1.0679,1.2875
738505.487011897,-0.1678,-0.0515,-1.0554,1.2747
738505.487014081,-0.1668,-0.0515,-1.0433,1.2616
738505.487016348,-0.1659,-0.0523,-1.0302,1.2484
738505.487018545,-0.1648,-0.053,-1.0181,1.2359
