time_dn,glideslope_error_deg,localizer_error_deg,airspeed_error_kts,total_error
738185.622659348,-0.0853,0.1772,-0.7496,1.0121
738185.622661905,-0.0854,0.1768,-0.6984,0.9606
738185.622664495,-0.0856,0.1765,-0.647,0.9091
738185.622667052,-0.0863,0.176,-0.6175,0.8798
738185.62266964,-0.0876,0.1755,-0.6248,0.8879
738185.622672206,-0.0895,0.1743,-0.6512,0.915
738185.622674759,-0.0918,0.1738,-0.6655,0.9311
738185.622677328,-0.0948,0.1734,-0.6729,0.9411
738185.62267989,-0.098,0.1731,-0.7054,0.9765
738185.622682477,-0.1018,0.1718,-0.7584,1.032
738185.622685023,-0.106,0.1714,-0.7819,1.0593
738185.622687604,-0.1109,0.17,-0.7553,1.0362
738185.62269019,-0.1158,0.1697,-0.7081,0.9936
738185.622692755,-0.1211,0.1683,-0.6709,0.9603
738185.62269533,-0.1265,0.1679,-0.6528,0.9472
738185.622697887,-0.1323,0.1665,-0.6421,0.9409
738185.622700462,-0.1381,0.1662,-0.6111,0.9154
738185.622703028,-0.1436,0.165,-0.536,0.8446
738185.6227056,-0.1491,0.1647,-0.4392,0.753
738185.622708162,-0.1551,0.1633,-0.3762,0.6946
738185.622710747,-0.1611,0.1621,-0.3634,0.6866
738185.622713323,-0.1672,0.1608,-0.3642,0.6922
738185.622715888,-0.1739,0.1605,-0.3674,0.7018
738185.622718463,-0.1807,0.1593,-0.4051,0.7451
738185.622721039,-0.1881,0.158,-0.4597,0.8058
738185.622723607,-0.1956,0.1568,-0.4772,0.8296
738185.622726896,-0.2033,0.1555,-0.4406,0.7994
738185.622729247,-0.2095,0.154,-0.3788,0.7423
738185.622731819,-0.2166,0.1518,-0.2971,0.6655
738185.622734392,-0.2237,0.1505,-0.2244,0.5986
738185.62273695,-0.2303,0.1484,-0.1584,0.5371
738185.622739545,-0.2357,0.1462,-0.0724,0.4543
738185.622742188,-0.2406,0.1432,0.0117,0.3955
738185.622744664,-0.2443,0.1399,0.0368,0.421
738185.62274722,-0.2475,0.137,0.04,0.4245
738185.622749814,-0.2505,0.1329,0.0552,0.4386
738185.622752366,-0.253,0.1288,0.0747,0.4565
738185.622754936,-0.2545,0.1248,0.0844,0.4637
738185.622757518,-0.2551,0.1198,0.0782,0.4531
738185.622760085,-0.2551,0.1136,0.0677,0.4364
738185.622762677,-0.2541,0.1077,0.0729,0.4347
738185.622765244,-0.2527,0.1017,0.0751,0.4295
738185.622767818,-0.2512,0.0958,0.0176,0.3646
738185.622770405,-0.2495,0.0896,-0.0994,0.4385
738185.622772954,-0.2475,0.0836,-0.208,0.5391
738185.622775531,-0.2455,0.0765,-0.2807,0.6027
738185.62277809,-0.2427,0.0705,-0.3331,0.6463
738185.622780661,-0.2399,0.0653,-0.3754,0.6806
738185.622783232,-0.2367,0.0593,-0.3859,0.6819
738185.62278581,-0.2332,0.0531,-0.3589,0.6452
738185.622788404,-0.229,0.048,-0.3342,0.6112
738185.622790952,-0.2252,0.0418,-0.3518,0.6188
738185.622793526,-0.2209,0.0368,-0.4159,0.6736
738185.622796088,-0.2167,0.0315,-0.487,0.7352
738185.622798661,-0.2127,0.0262,-0.5515,0.7904
738185.622801219,-0.2084,0.0211,-0.5826,0.8121
738185.622803783,-0.204,0.0158,-0.5551,0.7749
738185.62280636,-0.199,0.0106,-0.4836,0.6932
738185.622808979,-0.1934,0.0064,-0.413,0.6128
