time_dn,glideslope_error_deg,localizer_error_deg,airspeed_error_kts,total_error
738185.514696759,-0.0976,0.1816,-0.0264,0.3056
738185.514699231,-0.0971,0.1814,-0.1386,0.4171
738185.514701285,-0.0949,0.1806,-0.4847,0.7602
738185.514703343,-0.0934,-0.1805,-0.6157,0.8896
738185.514705801,-0.0919,-0.1801,-0.6355,0.9075
738185.514708226,-0.0908,-0.1796,-0.6091,0.8795
738185.514710532,-0.0902,-0.179,-0.5912,0.8604
738185.514712846,-0.0895,-0.1783,-0.5735,0.8413
738185.514715159,-0.0891,-0.1775,-0.5307,0.7973
738185.514717587,-0.0889,-0.1771,-0.4668,0.7328
738185.514719881,-0.0889,-0.1764,-0.4234,0.6887
738185.514722374,-0.0896,-0.1767,-0.4259,0.6922
738185.514724691,-0.0906,-0.1757,-0.4797,0.746
738185.514727004,-0.092,-0.1749,-0.5608,0.8277
738185.51472914,-0.0941,-0.175,-0.6425,0.9116
738185.514731623,-0.0967,-0.1742,-0.7062,0.9771
738185.514733923,-0.1,-0.1732,-0.7464,1.0196
738185.514736243,-0.1035,-0.1724,-0.7752,1.0511
738185.51473856,-0.1074,-0.1725,-0.8226,1.1025
738185.514740955,-0.1125,-0.1719,-0.9202,1.2046
738185.514743292,-0.118,-0.1709,-1.0322,1.3211
738185.514745586,-0.1241,-0.1699,-1.1279,1.4219
738185.514747553,-0.1299,-0.1694,-1.1899,1.4892
738185.514749874,-0.1376,-0.1684,-1.2732,1.5792
738185.514752181,-0.1453,-0.1674,-1.3652,1.6779
738185.514754513,-0.1545,-0.1664,-1.4322,1.7531
738185.514756555,-0.1637,-0.166,-1.4538,1.7835
738185.514758685,-0.1739,-0.1649,-1.4522,1.791
738185.514761189,-0.185,-0.164,-1.4482,1.7972
738185.514763756,-0.1947,-0.1635,-1.445,1.8032
738185.514766083,-0.2073,-0.1625,-1.4325,1.8023
738185.514768426,-0.2199,0.1615,-1.3963,1.7777
738185.514770509,-0.2326,0.1603,-1.3342,1.7271
738185.514772755,-0.2452,0.1599,-1.2629,1.668
738185.514775089,-0.2591,0.1589,-1.1905,1.6085
738185.514777481,-0.2749,0.157,-1.1431,1.575
738185.514779698,-0.2888,0.1559,-1.1405,1.5852
738185.514782008,-0.3043,0.1547,-1.1787,1.6377
738185.514784329,-0.3216,0.1537,-1.2377,1.713
738185.514786631,-0.3382,0.1525,-1.2701,1.7608
738185.514788952,-0.3564,0.1506,-1.273,1.78
738185.514791256,-0.3734,0.1494,-1.2612,1.784
738185.514793838,-0.3922,0.1479,-1.2574,1.7975
738185.514796144,-0.4085,0.1459,-1.2774,1.8318
738185.514798448,-0.4237,0.1442,-1.3092,1.8771
738185.514801024,-0.4371,0.1424,-1.3273,1.9068
738185.514803337,-0.4479,0.1406,-1.3345,1.923
738185.514805678,-0.4586,0.1378,-1.3593,1.9557
738185.51480782,-0.4686,0.1358,-1.3989,2.0033
738185.514810014,-0.4783,0.1339,-1.4143,2.0265
738185.514812341,-0.4876,0.1312,-1.371,1.9898
738185.514814907,-0.4966,0.1287,-1.2697,1.895
738185.514817211,-0.5038,0.1259,-1.1722,1.8019
738185.514819284,-0.5082,0.124,-1.1214,1.7536
738185.514821416,-0.5114,0.1211,-1.1149,1.7474
738185.51482391,-0.5145,0.1175,-1.1525,1.7845
738185.514826061,-0.5172,0.1147,-1.2083,1.8402
738185.514828792,-0.5205,0.1113,-1.2514,1.8832
738185.514831106,-0.5231,0.1076,-1.2447,1.8754
738185.514833416,-0.5258,0.1049,-1.2014,1.8321
738185.514835741,-0.5288,0.1012,-1.1644,1.7944
738185.514838044,-0.5318,0.0977,-1.1317,1.7612
738185.514840439,-0.5349,0.0942,-1.0663,1.6954
738185.514842682,-0.5376,0.0911,-0.9937,1.6224
738185.514845097,-0.5409,0.0869,-0.9357,1.5635
738185.514847318,-0.544,0.0828,-0.9399,1.5667
738185.514849944,-0.5484,0.0787,-0.969,1.5961
738185.514852516,-0.5523,0.0744,-0.9703,1.597
738185.51485513,-0.5562,0.0701,-0.944,1.5703
738185.5148577,-0.5603,0.0649,-0.9143,1.5395
738185.514860253,-0.5643,0.0604,-0.8831,1.5078
738185.514862829,-0.5676,0.0561,-0.8283,1.452
738185.514865372,-0.5709,0.0509,-0.7429,1.3647
738185.514867946,-0.5742,0.0454,-0.6666,1.2862
738185.514870518,-0.577,0.0402,-0.6427,1.2599
738185.514873095,-0.5797,0.0349,-0.6705,1.2851
738185.514875658,-0.5808,0.0325,-0.6876,1.3009
738185.51487823,-0.5808,0.0325,-0.6876,1.3009
738185.514880817,-0.5808,0.0325,-0.6876,1.3009
738185.514883364,-0.5808,0.0325,-0.6876,1.3009
738185.514885955,-0.5808,0.0325,-0.6876,1.3009
738185.514888545,-0.5808,0.0325,-0.6876,1.3009
738185.514891075,-0.5808,0.0325,-0.6876,1.3009
738185.514893658,-0.5808,0.0325,-0.6876,1.3009
738185.514896214,-0.5808,0.0325,-0.6876,1.3009
738185.514898788,-0.5808,0.0325,-0.6876,1.3009
738185.51490136,-0.5808,0.0325,-0.6876,1.3009
738185.514903935,-0.5808,0.0325,-0.6876,1.3009
738185.514906505,-0.5808,0.0325,-0.6876,1.3009
738185.514909071,-0.5808,0.0325,-0.6876,1.3009
738185.514911636,-0.5808,0.0325,-0.6876,1.3009
738185.514914224,-0.5808,0.0325,-0.6876,1.3009
738185.514916497,-0.5808,0.0325,-0.6876,1.3009
738185.514918484,-0.5808,0.0325,-0.6876,1.3009
738185.514921053,-0.5808,0.0325,-0.6876,1.3009
738185.51492317,-0.5808,0.0325,-0.6876,1.3009
738185.514925229,-0.5808,0.0325,-0.6876,1.3009
738185.514927486,-0.5808,0.0325,-0.6876,1.3009
738185.514929539,-0.5808,0.0325,-0.6876,1.3009
738185.514932105,-0.5808,0.0325,-0.6876,1.3009
738185.514934249,-0.5808,0.0325,-0.6876,1.3009
738185.514936553,-0.5808,0.0325,-0.6876,1.3009
738185.514939047,-0.5808,0.0325,-0.6876,1.3009
738185.514941102,-0.5808,0.0325,-0.6876,1.3009
738185.514943431,-0.5808,0.0325,-0.6876,1.3009
738185.514945731,-0.5808,0.0325,-0.6876,1.3009
738185.514947787,-0.5808,0.0325,-0.6876,1.3009
738185.514949845,-0.5808,0.0325,-0.6876,1.3009
738185.514951971,-0.5808,0.0325,-0.6876,1.3009
738185.514953959,-0.5808,0.0325,-0.6876,1.3009
738185.514956535,-0.5808,0.0325,-0.6876,1.3009
738185.514958575,-0.5808,0.0325,-0.6876,1.3009
738185.514960892,-0.5808,0.0325,-0.6876,1.3009
738185.514962959,-0.5808,0.0325,-0.6876,1.3009
738185.514965014,-0.5808,0.0325,-0.6876,1.3009
738185.514967088,-0.5808,0.0325,-0.6876,1.3009
738185.514969214,-0.5808,0.0325,-0.6876,1.3009
738185.514971438,-0.5808,0.0325,-0.6876,1.3009
738185.51497375,-0.5808,0.0325,-0.6876,1.3009
738185.514976318,-0.5808,0.0325,-0.6876,1.3009
738185.514978893,-0.5808,0.0325,-0.6876,1.3009
738185.514981236,-0.5808,0.0325,-0.6876,1.3009
738185.514983262,-0.5808,0.0325,-0.6876,1.3009
738185.514985393,-0.5808,0.0325,-0.6876,1.3009
738185.514987914,-0.5808,0.0325,-0.6876,1.3009
738185.514990203,-0.5808,0.0325,-0.6876,1.3009
738185.514992259,-0.5808,0.0325,-0.6876,1.3009
738185.514994397,-0.5808,0.0325,-0.6876,1.3009
738185.514996485,-0.5808,0.0325,-0.6876,1.3009
738185.514998754,-0.5808,0.0325,-0.6876,1.3009
738185.515000737,-0.5808,0.0325,-0.6876,1.3009
738185.515003057,-0.5808,0.0325,-0.6876,1.3009
738185.515005438,-0.5808,0.0325,-0.6876,1.3009
738185.515007484,-0.5808,0.0325,-0.6876,1.3009
738185.515009483,-0.5808,0.0325,-0.6876,1.3009
738185.51501154,-0.5808,0.0325,-0.6876,1.3009
738185.51501386,-0.5808,0.0325,-0.6876,1.3009
738185.515016429,-0.5808,0.0325,-0.6876,1.3009
738185.515018764,-0.5808,0.0325,-0.6876,1.3009
738185.515020792,-0.5808,0.0325,-0.6876,1.3009
738185.515023111,-0.5808,0.0325,-0.6876,1.3009
738185.515025252,-0.5808,0.0325,-0.6876,1.3009
738185.515027748,-0.5808,0.0325,-0.6876,1.3009
738185.515029799,-0.5808,0.0325,-0.6876,1.3009
738185.515032126,-0.5808,0.0325,-0.6876,1.3009
738185.515034463,-0.5808,0.0325,-0.6876,1.3009
738185.515036503,-0.5808,0.0325,-0.6876,1.3009
738185.51503908,-0.5808,0.0325,-0.6876,1.3009
738185.515041641,-0.5808,0.0325,-0.6876,1.3009
738185.515043816,-0.5808,0.0325,-0.6876,1.3009
738185.515046278,-0.5808,0.0325,-0.6876,1.3009
738185.515048359,-0.5808,0.0325,-0.6876,1.3009
738185.515050449,-0.5808,0.0325,-0.6876,1.3009
738185.515052935,-0.5808,0.0325,-0.6876,1.3009
738185.5150555,-0.5808,0.0325,-0.6876,1.3009
738185.515057818,-0.5808,0.0325,-0.6876,1.3009
738185.515060118,-0.5808,0.0325,-0.6876,1.3009
738185.515062436,-0.5808,0.0325,-0.6876,1.3009
738185.515064753,-0.5808,0.0325,-0.6876,1.3009
738185.515067051,-0.5808,0.0325,-0.6876,1.3009
738185.515069628,-0.5808,0.0325,-0.6876,1.3009
738185.515071943,-0.5808,0.0325,-0.6876,1.3009
738185.515074252,-0.5808,0.0325,-0.6876,1.3009
738185.515076574,-0.5808,0.0325,-0.6876,1.3009
738185.515078688,-0.5808,0.0325,-0.6876,1.3009
738185.515080689,-0.5808,0.0325,-0.6876,1.3009
738185.515082992,-0.5808,0.0325,-0.6876,1.3009
738185.515085299,-0.5808,0.0325,-0.6876,1.3009
