time_dn,glideslope_error_deg,localizer_error_deg,airspeed_error_kts,total_error
738359.398024694,-0.104,0.0865,-0.2095,0.4
738359.398026729,-0.1039,0.0856,-1.3757,1.5652
738359.398028875,-0.104,-0.0848,-3,3.1888
738359.398031006,-0.1038,-0.0839,-3,3.1877
738359.398033266,-0.1037,-0.0822,-3,3.1859
738359.398035511,-0.1035,-0.0815,-3,3.185
738359.398037649,-0.1032,-0.0806,-3,3.1838
738359.398039824,-0.1031,-0.0789,-2.5486,2.7306
738359.398041948,-0.103,-0.078,-2.1068,2.2878
738359.398043896,-0.1035,-0.0776,-1.7704,1.9515
738359.398046108,-0.1037,-0.0769,-1.4621,1.6427
738359.398048399,-0.1046,0.0751,-1.2222,1.4019
738359.398050786,-0.1057,0.0745,-1.0463,1.2265
738359.398053078,-0.1072,0.0727,-0.929,1.1089
738359.398055451,-0.109,0.072,-0.8521,1.0331
738359.398057438,-0.111,0.0708,-0.8096,0.9914
738359.398059598,-0.113,0.0699,-0.781,0.9639
738359.398061791,-0.1157,0.0689,-0.7634,0.948
738359.398064006,-0.1188,0.0671,-0.752,0.9379
738359.398066103,-0.122,0.066,-0.7454,0.9334
738359.398068183,-0.1254,0.0649,-0.74,0.9303
738359.398070302,-0.129,0.0639,-0.7347,0.9276
738359.39807266,-0.1335,0.0621,-0.7276,0.9232
738359.398074907,-0.138,0.0614,-0.7185,0.9179
738359.398077009,-0.1425,0.0595,-0.708,0.91
738359.398079199,-0.1475,0.0584,-0.6951,0.901
738359.398081448,-0.1529,0.0566,-0.6793,0.8888
738359.398083715,-0.1583,0.0548,-0.6622,0.8753
738359.398085922,-0.164,0.0531,-0.6438,0.8609
738359.398088362,-0.1702,0.0514,-0.623,0.8446
738359.398090368,-0.1758,0.0495,-0.6041,0.8294
738359.398092629,-0.1824,0.0477,-0.5824,0.8125
738359.398094772,-0.1885,0.0459,-0.5614,0.7958
738359.39809693,-0.1948,0.0439,-0.5404,0.7791
738359.398099124,-0.2012,0.0412,-0.5184,0.7608
738359.398101172,-0.2072,0.0399,-0.4981,0.7452
738359.398103398,-0.2133,0.0374,-0.4761,0.7268
738359.398105543,-0.2192,0.0354,-0.4559,0.7105
738359.398107735,-0.2247,0.0327,-0.4361,0.6935
738359.398110696,-0.2309,0.0293,-0.4145,0.6747
738359.398112963,-0.2359,0.0267,-0.3966,0.6592
738359.398115075,-0.2401,0.024,-0.3818,0.6459
738359.39811717,-0.2438,0.0211,-0.3687,0.6336
738359.398119325,-0.2475,0.0181,-0.3569,0.6225
738359.39812145,-0.2502,-0.0154,-0.347,0.6126
738359.39812366,-0.2529,-0.0124,-0.3385,0.6038
738359.398125854,-0.2552,-0.0089,-0.3309,0.595
738359.398128028,-0.2572,-0.006,-0.3251,0.5883
738359.398130155,-0.2591,-0.0021,-0.3202,0.5814
738359.39813246,-0.2605,-0.0005,-0.3161,0.5771
738359.398134657,-0.2619,-0.0042,-0.3129,0.579
738359.398136778,-0.2631,-0.0081,-0.3107,0.5819
738359.398138979,-0.2639,-0.0118,-0.3093,0.585
738359.398141084,-0.2647,-0.0147,-0.3086,0.588
738359.398143222,-0.2652,-0.0186,-0.3086,0.5924
738359.3981454,-0.2656,-0.0224,-0.3093,0.5973
738359.398147561,-0.2658,-0.0263,-0.3108,0.6029
738359.398149817,-0.2656,-0.0298,-0.3131,0.6085
738359.398152,-0.2656,-0.0337,-0.316,0.6153
738359.398154157,-0.2652,-0.0375,-0.3197,0.6224
738359.39815623,-0.2646,-0.0414,-0.3236,0.6296
738359.398158315,-0.2638,-0.0453,-0.3279,0.637
738359.398160408,-0.2629,-0.0492,-0.3327,0.6448
738359.398162484,-0.2622,-0.0533,-0.3377,0.6532
738359.398164596,-0.2611,-0.0572,-0.3432,0.6615
738359.398166752,-0.2601,-0.0611,-0.3491,0.6703
738359.398168956,-0.2588,-0.0658,-0.3554,0.68
738359.398171172,-0.2577,-0.0698,-0.3617,0.6892
738359.398173203,-0.2564,-0.0737,-0.368,0.6981
738359.39817553,-0.2552,-0.0784,-0.3751,0.7087
738359.398177727,-0.2539,-0.0831,-0.382,0.719
738359.398179884,-0.2527,-0.0871,-0.3887,0.7285
738359.398182137,-0.2517,-0.092,-0.3955,0.7392
738359.398184235,-0.2505,-0.0959,-0.402,0.7484
738359.398186509,-0.2493,-0.1007,-0.4088,0.7588
738359.398188778,-0.2481,-0.1054,-0.4157,0.7692
738359.398190857,-0.2469,-0.1103,-0.4223,0.7795
738359.39819296,-0.2457,-0.1145,-0.4288,0.789
738359.398195147,-0.2441,-0.1183,-0.4357,0.7981
738359.398197379,-0.2427,-0.1232,-0.4431,0.809
738359.398199661,-0.2411,-0.1279,-0.4508,0.8198
738359.39820197,-0.2395,-0.1327,-0.4583,0.8305
738359.398204291,-0.2381,-0.1384,-0.4662,0.8427
738359.398206632,-0.2366,-0.1432,-0.4739,0.8537
738359.3982089,-0.2351,-0.148,-0.4814,0.8645
738359.398211187,-0.2335,-0.1528,-0.489,0.8753
738359.39821337,-0.2318,-0.1575,-0.4964,0.8857
738359.3982156,-0.2303,-0.1615,-0.5036,0.8954
738359.398217786,-0.2289,-0.1665,-0.511,0.9064
738359.398219855,-0.2275,-0.1716,-0.5178,0.9169
738359.398222113,-0.2259,-0.1755,-0.5251,0.9265
738359.39822436,-0.2245,-0.1804,-0.5325,0.9374
738359.398226792,-0.2228,-0.186,-0.5402,0.949
738359.398229074,-0.2213,-0.1908,-0.5474,0.9595
738359.398231124,-0.22,-0.195,-0.5538,0.9688
738359.398233493,-0.2186,-0.2008,-0.5612,0.9806
738359.398235478,-0.2173,-0.2041,-0.5671,0.9885
738359.398237554,-0.2161,-0.2092,-0.5734,0.9987
738359.39823985,-0.2146,-0.2141,-0.5802,1.0089
738359.398242311,-0.2131,-0.2197,-0.5871,1.0199
738359.39824443,-0.2119,-0.2239,-0.5931,1.0289
738359.398246442,-0.2107,-0.2281,-0.5987,1.0375
738359.398248794,-0.2093,-0.233,-0.6052,1.0475
738359.398250884,-0.2079,-0.238,-0.6108,1.0567
738359.398252983,-0.2067,-0.2422,-0.6163,1.0652
738359.39825543,-0.2056,-0.2471,-0.6227,1.0754
738359.398257454,-0.2042,-0.2521,-0.628,1.0843
738359.398259457,-0.2032,-0.2565,-0.6331,1.0928
738359.398261771,-0.2019,-0.2614,-0.6387,1.102
738359.398263805,-0.2008,-0.2656,-0.6436,1.11
738359.398266007,-0.1997,-0.2707,-0.6488,1.1192
738359.398268162,-0.1985,-0.2757,-0.6537,1.1279
738359.398270285,-0.1976,-0.28,-0.6581,1.1357
738359.398272253,-0.1967,-0.2844,-0.6618,1.1429
738359.39827495,-0.1956,-0.2901,-0.666,1.1517
738359.398277282,-0.1942,-0.2964,-0.6696,1.1602
738359.398279626,-0.1934,-0.3015,-0.6721,1.167
738359.398281892,-0.1923,-0.3064,-0.6741,1.1728
738359.398283876,-0.1915,-0.3109,-0.6755,1.1779
738359.398285971,-0.1905,-0.3159,-0.6767,1.1831
738359.398288218,-0.1897,-0.322,-0.6778,1.1895
738359.398290457,-0.1889,-0.3271,-0.6786,1.1946
738359.398292761,-0.188,-0.3322,-0.6792,1.1994
738359.39829483,-0.1873,-0.3374,-0.6797,1.2044
