time_dn,glideslope_error_deg,localizer_error_deg,airspeed_error_kts,total_error
738532.498423153,-0.1308,-0.0082,-0.4078,0.5468
738532.498425113,-0.131,0.0085,-0.4251,0.5646
738532.498427055,-0.131,0.0094,-0.4421,0.5825
738532.498429002,-0.1313,0.0095,-0.4489,0.5897
738532.498431049,-0.1313,0.0104,-0.4509,0.5926
738532.498433084,-0.1314,0.0104,-0.4514,0.5932
738532.498435068,-0.1313,0.0111,-0.4524,0.5948
738532.498437086,-0.1315,0.0112,-0.4542,0.5969
738532.498438863,-0.1313,0.0114,-0.4566,0.5993
738532.498440858,-0.1316,0.0124,-0.4596,0.6036
738532.498442922,-0.1314,0.0122,-0.4625,0.6061
738532.498444729,-0.1315,0.0125,-0.4648,0.6088
738532.49844682,-0.1314,0.0132,-0.4669,0.6115
738532.498448636,-0.1315,0.0135,-0.4684,0.6134
738532.498450483,-0.1316,0.0138,-0.4697,0.6151
738532.498452577,-0.1315,0.0146,-0.471,0.6171
738532.498454669,-0.1314,0.0144,-0.4723,0.6181
738532.498456522,-0.1315,0.0146,-0.4736,0.6197
738532.498458384,-0.1314,0.0148,-0.4751,0.6213
738532.498460269,-0.1312,-0.0158,-0.4767,0.6237
738532.498462257,-0.131,-0.0158,-0.4787,0.6255
738532.498464133,-0.1311,-0.0161,-0.4807,0.6279
738532.498466005,-0.1311,-0.0162,-0.4828,0.6301
738532.498467899,-0.1309,-0.0164,-0.4851,0.6324
738532.498469717,-0.1307,-0.0165,-0.4874,0.6346
738532.498471764,-0.1306,-0.0174,-0.49,0.638
738532.498473564,-0.1305,-0.0177,-0.4924,0.6406
738532.498475597,-0.1302,-0.0175,-0.4952,0.6429
738532.498477641,-0.1301,-0.0174,-0.498,0.6455
738532.498479725,-0.13,-0.0174,-0.5009,0.6483
738532.498481719,-0.1298,-0.0183,-0.5037,0.6518
738532.49848382,-0.1297,-0.0183,-0.5066,0.6546
738532.4984859,-0.1296,-0.0181,-0.5096,0.6573
