time_dn,glideslope_error_deg,localizer_error_deg,airspeed_error_kts,total_error
738532.556227381,-0.104,0.0865,-0.2095,0.4
738532.556229385,-0.1042,0.086,0.406,0.5962
738532.556231478,-0.1045,0.0851,1.1123,1.3019
738532.55623343,-0.1038,0.0839,1.3246,1.5123
738532.556235475,-0.1019,0.0829,1.2862,1.471
738532.556237564,-0.0994,0.0821,1.1182,1.2997
738532.556239639,-0.0969,0.0811,0.8989,1.0769
738532.556241763,-0.0941,0.0793,0.6638,0.8372
738532.556243848,-0.0915,0.0783,0.4532,0.623
738532.556246018,-0.0888,0.0774,0.256,0.4222
738532.556248098,-0.0864,0.0764,0.0928,0.2556
738532.556250353,-0.0841,0.0756,-0.0564,0.2161
738532.556252582,-0.082,0.0738,-0.1839,0.3397
738532.556254875,-0.0803,0.0729,-0.2941,0.4473
738532.556257095,-0.0788,0.0721,-0.3895,0.5404
738532.556259299,-0.0777,0.0703,-0.4759,0.6239
738532.556261331,-0.0773,0.07,-0.5515,0.6988
738532.556263508,-0.0772,0.0681,-0.6269,0.7722
738532.556265602,-0.0775,0.0669,-0.6962,0.8406
738532.556267763,-0.0782,0.0659,-0.7649,0.909
738532.55626993,-0.0797,0.0647,-0.8321,0.9765
738532.55627209,-0.0814,0.0637,-0.8959,1.041
738532.556274311,-0.0836,0.0626,-0.958,1.1042
738532.556276435,-0.0865,0.0605,-1.0161,1.1631
738532.556278523,-0.09,0.0591,-1.0692,1.2183
738532.556280692,-0.0939,0.0579,-1.1218,1.2736
738532.556282811,-0.0984,0.0567,-1.171,1.3261
738532.556284929,-0.1034,0.0555,-1.2179,1.3768
738532.556287191,-0.1092,0.0536,-1.2637,1.4265
738532.55628939,-0.1156,0.0524,-1.3054,1.4734
738532.556291517,-0.1226,0.051,-1.3431,1.5167
738532.556293659,-0.1301,0.0498,-1.3784,1.5583
738532.556295888,-0.1386,0.0477,-1.4116,1.5979
738532.556298076,-0.1476,0.0465,-1.4412,1.6353
738532.556300262,-0.1571,0.0453,-1.4674,1.6698
738532.55630246,-0.1676,0.043,-1.4907,1.7013
738532.556304636,-0.1784,0.0417,-1.5108,1.7309
738532.556306871,-0.1899,0.0396,-1.5281,1.7576
738532.556309095,-0.2021,0.0384,-1.542,1.7825
738532.556311242,-0.2144,0.0361,-1.5511,1.8016
738532.556313421,-0.2275,0.0349,-1.555,1.8174
738532.556315626,-0.2414,0.0327,-1.5532,1.8273
738532.55631777,-0.2552,0.0304,-1.5466,1.8322
738532.556319941,-0.2703,0.0292,-1.5354,1.8349
738532.556322201,-0.2861,0.027,-1.5206,1.8337
738532.556324373,-0.3019,0.0247,-1.5032,1.8298
738532.556326636,-0.3193,0.0226,-1.4794,1.8213
738532.556328909,-0.3376,-0.0204,-1.4475,1.8055
738532.556331178,-0.3564,-0.0184,-1.4052,1.78
738532.556333152,-0.373,-0.0161,-1.36,1.7491
738532.556335488,-0.3933,-0.0132,-1.2959,1.7024
738532.556337744,-0.4141,-0.0112,-1.2217,1.647
738532.556339876,-0.4332,-0.0081,-1.1465,1.5878
738532.55634206,-0.454,-0.0061,-1.0594,1.5195
738532.556344265,-0.4744,-0.003,-0.9701,1.4475
738532.556346387,-0.4945,-0,-0.8788,1.3733
738532.556348605,-0.516,-0.0029,-0.7799,1.2988
738532.556350803,-0.5375,-0.0059,-0.6812,1.2246
738532.556352952,-0.5585,-0.0088,-0.5846,1.1519
738532.556355147,-0.5796,-0.0116,-0.4878,1.079
738532.556357244,-0.6004,-0.0155,-0.3951,1.011
738532.556359413,-0.6215,-0.0184,-0.3038,0.9437
738532.556361643,-0.6431,-0.0222,-0.2123,0.8776
738532.556363867,-0.6646,-0.0259,-0.1252,0.8157
738532.556366006,-0.6855,-0.0287,-0.0434,0.7576
738532.556368163,-0.706,-0.0324,0.0342,0.7726
738532.556370342,-0.7268,-0.0362,0.1101,0.8731
738532.556372466,-0.7469,-0.0399,0.1811,0.9679
738532.556374656,-0.7674,-0.0446,0.2511,1.0631
738532.556377,-0.7885,-0.048,0.3225,1.159
738532.556379279,-0.8098,-0.0526,0.3917,1.2541
738532.556381514,-0.8287,-0.0573,0.4528,1.3388
738532.556383681,-0.8483,-0.0618,0.5156,1.4257
738532.556385749,-0.866,-0.0656,0.5712,1.5028
738532.556387953,-0.8848,-0.0709,0.6294,1.5851
738532.556390108,-0.9029,-0.0756,0.6836,1.6621
738532.556392361,-0.9204,-0.08,0.7367,1.7371
738532.556394339,-0.9367,-0.0849,0.7844,1.806
738532.556396532,-0.9532,-0.0893,0.8334,1.8759
