time_dn,glideslope_error_deg,localizer_error_deg,airspeed_error_kts,total_error
738548.411418097,-0.1308,-0.0082,-0.4078,0.5468
738548.411420303,-0.1308,-0.009,-0.7291,0.8689
738548.411422411,-0.131,0.0088,-1.3178,1.4576
738548.411424553,-0.1314,0.0095,-1.5074,1.6483
738548.411426645,-0.1319,0.0103,-1.4925,1.6347
738548.411428824,-0.1325,0.0101,-1.3818,1.5244
738548.411430889,-0.1331,0.0108,-1.241,1.3849
738548.411433027,-0.1341,0.0117,-1.1027,1.2485
738548.411435153,-0.1349,0.0115,-0.9814,1.1278
738548.411437338,-0.1361,-0.0122,-0.8822,1.0305
738548.411439501,-0.1375,-0.0129,-0.8081,0.9585
738548.411441615,-0.1388,-0.0127,-0.7596,0.9111
738548.41144375,-0.1405,-0.0136,-0.729,0.8831
738548.411445815,-0.1421,-0.0134,-0.711,0.8665
738548.411447924,-0.1441,-0.0143,-0.7015,0.8599
738548.411450051,-0.1461,-0.015,-0.6973,0.8584
738548.411452252,-0.1484,-0.0148,-0.696,0.8592
738548.411454348,-0.1509,-0.0157,-0.6955,0.8621
738548.411456654,-0.1537,-0.0153,-0.6943,0.8633
738548.411458838,-0.1567,-0.0161,-0.6915,0.8643
738548.411461101,-0.1595,-0.0166,-0.6866,0.8627
738548.411463326,-0.1628,-0.0164,-0.6797,0.8589
738548.411465396,-0.1656,-0.0172,-0.6714,0.8542
738548.411467637,-0.1692,-0.017,-0.6608,0.847
738548.411469751,-0.1722,-0.0177,-0.6497,0.8396
738548.411471882,-0.1751,-0.0175,-0.6378,0.8304
738548.411474148,-0.1786,-0.018,-0.624,0.8206
738548.411476401,-0.1821,-0.0178,-0.6099,0.8098
738548.411478671,-0.1853,-0.0182,-0.5951,0.7986
738548.411480966,-0.1887,-0.0188,-0.5801,0.7876
738548.411483201,-0.192,-0.0184,-0.5652,0.7756
738548.411485414,-0.1955,-0.0182,-0.5505,0.7642
738548.411487656,-0.1987,-0.0188,-0.5357,0.7532
738548.411489844,-0.2017,-0.0186,-0.522,0.7423
738548.411492035,-0.2047,-0.0182,-0.5079,0.7308
738548.411494217,-0.2075,-0.0188,-0.4944,0.7207
738548.411496406,-0.2104,-0.0186,-0.4813,0.7103
738548.411498945,-0.2132,-0.0179,-0.4674,0.6985
738548.411501231,-0.2158,-0.0185,-0.4549,0.6892
738548.411503552,-0.2186,-0.0181,-0.4424,0.6791
738548.411505782,-0.2209,-0.0176,-0.4307,0.6692
738548.411507967,-0.2233,-0.0183,-0.4196,0.6612
738548.411510264,-0.2255,-0.0179,-0.4089,0.6523
738548.411512208,-0.2273,-0.0179,-0.3998,0.645
738548.411514433,-0.2292,-0.0175,-0.3902,0.6369
738548.411516699,-0.2308,-0.017,-0.3811,0.6289
738548.411519046,-0.2325,-0.0164,-0.3721,0.621
738548.411521284,-0.2343,-0.0161,-0.3639,0.6143
738548.411523533,-0.2356,-0.0166,-0.3566,0.6088
738548.411525777,-0.2368,-0.0161,-0.3495,0.6024
738548.411528005,-0.2381,-0.0157,-0.3431,0.5969
738548.411530255,-0.2392,-0.0153,-0.3372,0.5917
738548.411532467,-0.2401,-0.015,-0.3318,0.5869
738548.411534665,-0.241,-0.0137,-0.3268,0.5815
738548.411536951,-0.2419,-0.0133,-0.3222,0.5774
738548.411539119,-0.2425,-0.0129,-0.3182,0.5736
738548.411541292,-0.2429,-0.0125,-0.3147,0.5701
738548.41154358,-0.2434,-0.012,-0.3114,0.5668
738548.411545816,-0.2438,-0.0116,-0.3086,0.564
738548.411548073,-0.2442,-0.0103,-0.3063,0.5608
738548.411550316,-0.2442,-0.0097,-0.3044,0.5583
738548.411552555,-0.2442,-0.0094,-0.303,0.5566
738548.411554691,-0.2442,-0.0082,-0.302,0.5544
738548.411556875,-0.2439,-0.0078,-0.3014,0.5531
738548.411559047,-0.2436,-0.0075,-0.3011,0.5522
738548.411561261,-0.2431,-0.0061,-0.3013,0.5505
738548.411563381,-0.2427,-0.0059,-0.3018,0.5504
738548.411565731,-0.242,-0.0044,-0.3028,0.5492
738548.411567752,-0.2414,-0.0034,-0.304,0.5488
738548.411570074,-0.2404,-0.0027,-0.3058,0.5489
738548.411572391,-0.2394,-0.0012,-0.308,0.5486
738548.41157468,-0.2386,-0.0008,-0.3105,0.5499
738548.411576798,-0.2374,-0.0005,-0.3133,0.5512
738548.411578991,-0.2363,-0.0017,-0.3163,0.5543
738548.411581211,-0.2351,-0.003,-0.3197,0.5578
738548.411583419,-0.2335,-0.0045,-0.3236,0.5616
738548.411585648,-0.2323,-0.0057,-0.3277,0.5657
738548.411587797,-0.2308,-0.007,-0.3321,0.5699
738548.411589951,-0.2292,-0.0084,-0.3367,0.5743
738548.41159216,-0.2277,-0.0095,-0.3416,0.5788
738548.41159442,-0.2257,-0.0111,-0.3469,0.5837
738548.411596651,-0.224,-0.0124,-0.3525,0.5889
738548.411598836,-0.222,-0.0137,-0.358,0.5937
738548.411601019,-0.2202,-0.0151,-0.3642,0.5995
738548.411603244,-0.2181,-0.0174,-0.3702,0.6057
738548.41160539,-0.216,-0.0188,-0.3763,0.6111
738548.41160757,-0.214,-0.0199,-0.3825,0.6164
738548.411609813,-0.2119,-0.0213,-0.3893,0.6225
738548.411612067,-0.2097,-0.0236,-0.3962,0.6295
738548.411614374,-0.2072,-0.0251,-0.4035,0.6358
738548.411616642,-0.2049,-0.0265,-0.4108,0.6422
738548.411618954,-0.2024,-0.029,-0.4183,0.6497
738548.411621272,-0.2002,-0.0303,-0.4259,0.6564
738548.411623519,-0.1976,-0.0319,-0.4333,0.6628
738548.41162586,-0.1954,-0.0342,-0.4409,0.6705
738548.411627886,-0.1931,-0.0354,-0.4476,0.6761
738548.411629935,-0.1911,-0.0374,-0.4542,0.6827
738548.411632251,-0.1888,-0.0389,-0.4616,0.6893
738548.411634645,-0.1865,-0.0414,-0.4688,0.6967
738548.41163668,-0.1847,-0.0424,-0.4749,0.702
738548.41163899,-0.1825,-0.045,-0.4816,0.7091
738548.411641291,-0.1804,0.0463,-0.4879,0.7146
738548.411643696,-0.1781,0.0481,-0.4944,0.7206
738548.411645991,-0.1762,0.0504,-0.5003,0.7269
738548.411648337,-0.1741,0.052,-0.5062,0.7323
738548.41165039,-0.1724,0.054,-0.5113,0.7377
738548.411652421,-0.1705,0.0552,-0.5163,0.742
738548.411654683,-0.1687,0.0575,-0.5215,0.7477
738548.411656885,-0.1671,0.0587,-0.5264,0.7522
738548.411659125,-0.1652,0.0611,-0.531,0.7573
738548.411661429,-0.1636,0.0625,-0.5358,0.7619
738548.411663751,-0.1618,0.065,-0.5404,0.7672
738548.411666091,-0.1601,0.0666,-0.5448,0.7715
738548.411668082,-0.1588,0.0684,-0.5483,0.7755
738548.411670216,-0.1571,0.0708,-0.552,0.7799
738548.411672217,-0.1558,0.0718,-0.5554,0.783
738548.411674652,-0.1543,0.0744,-0.5591,0.7878
738548.411677042,-0.1529,0.0759,-0.5626,0.7914
738548.411679322,-0.1515,0.0783,-0.5658,0.7956
738548.411681623,-0.15,0.0799,-0.5689,0.7988
738548.411683959,-0.1486,0.0824,-0.5718,0.8028
738548.411686283,-0.1474,0.0839,-0.5745,0.8058
738548.411688503,-0.1461,0.0853,-0.5769,0.8083
738548.411690697,-0.145,0.0875,-0.5791,0.8116
738548.411692934,-0.1437,0.0889,-0.5812,0.8138
738548.411695275,-0.1424,0.0914,-0.5832,0.817
738548.411697624,-0.1415,0.0929,-0.5851,0.8195
738548.411699945,-0.1403,0.0945,-0.5867,0.8215
738548.411702323,-0.1392,0.097,-0.5881,0.8243
738548.411704514,-0.1384,0.0983,-0.5893,0.826
738548.411706756,-0.1375,0.0997,-0.5904,0.8276
738548.41170897,-0.1367,0.1009,-0.5912,0.8288
738548.411711134,-0.1358,0.1033,-0.5919,0.831
738548.411713374,-0.135,0.1048,-0.5924,0.8322
738548.411715556,-0.1343,0.106,-0.5927,0.833
738548.411717804,-0.1336,0.1074,-0.5928,0.8338
738548.411720052,-0.1329,0.1089,-0.5928,0.8346
738548.411722169,-0.1323,0.1101,-0.5926,0.835
738548.411724448,-0.1318,0.1116,-0.5923,0.8357
738548.411726737,-0.1313,0.113,-0.5917,0.836
738548.411729458,-0.1309,0.1144,-0.591,0.8363
738548.411731656,-0.1303,0.1166,-0.59,0.8369
738548.411733756,-0.13,0.1177,-0.589,0.8367
738548.41173591,-0.1296,0.1189,-0.5879,0.8364
738548.411737945,-0.1295,0.12,-0.5867,0.8362
738548.411740064,-0.1291,0.1203,-0.5854,0.8348
738548.411742197,-0.1288,0.1216,-0.5839,0.8343
738548.411744218,-0.1287,0.1226,-0.5823,0.8336
738548.411746237,-0.1286,0.1237,-0.5807,0.833
738548.411748594,-0.1284,0.1244,-0.5786,0.8314
738548.411750897,-0.1283,0.1248,-0.5764,0.8295
738548.411753105,-0.1283,0.1263,-0.574,0.8286
738548.411755366,-0.1283,0.1268,-0.5715,0.8266
738548.411757651,-0.1284,0.1272,-0.5688,0.8244
738548.41175999,-0.1285,0.1277,-0.566,0.8222
738548.411762348,-0.1286,0.1283,-0.563,0.8199
738548.411764633,-0.1288,0.1288,-0.5598,0.8174
738548.411766873,-0.129,0.1293,-0.5567,0.815
738548.411769183,-0.1292,0.1297,-0.5533,0.8122
738548.411771522,-0.1295,0.1304,-0.5498,0.8097
738548.411773819,-0.1296,0.1301,-0.5462,0.8059
738548.411776119,-0.13,0.1305,-0.5425,0.803
738548.411778141,-0.1302,0.1306,-0.5392,0.8
738548.411780413,-0.1307,0.1301,-0.5353,0.7961
738548.411782398,-0.1309,0.1302,-0.532,0.7931
738548.411784363,-0.1313,0.1301,-0.5287,0.7901
738548.411786363,-0.1317,0.1303,-0.5251,0.7871
738548.411788563,-0.1322,0.1295,-0.5212,0.7829
738548.411790744,-0.1325,0.13,-0.5172,0.7797
738548.411792928,-0.1331,0.1293,-0.5133,0.7757
738548.411795112,-0.1334,0.1288,-0.5092,0.7714
738548.411797358,-0.1339,0.1281,-0.5052,0.7672
738548.411799657,-0.1345,0.1276,-0.5009,0.763
738548.411801903,-0.135,0.127,-0.4967,0.7587
738548.411804281,-0.1354,0.1267,-0.4923,0.7544
738548.411806635,-0.1359,0.1254,-0.4879,0.7492
738548.411808701,-0.1363,0.1255,-0.4841,0.7459
738548.411811013,-0.1369,0.1241,-0.4796,0.7406
738548.411813378,-0.1373,0.1238,-0.4753,0.7364
738548.411815343,-0.1378,0.1227,-0.4717,0.7322
738548.411817651,-0.1382,0.1214,-0.4674,0.727
738548.411819703,-0.1386,0.1205,-0.4638,0.7229
738548.411821715,-0.1392,0.1194,-0.4603,0.7189
738548.411823763,-0.1395,0.1185,-0.4567,0.7147
738548.411825825,-0.1397,0.1178,-0.4532,0.7107
738548.411827844,-0.14,0.1159,-0.4498,0.7057
738548.411830253,-0.1403,0.1145,-0.4461,0.7009
738548.411832266,-0.1406,0.1136,-0.4429,0.6971
738548.411834532,-0.1408,0.1121,-0.4395,0.6924
738548.411836838,-0.1411,0.1116,-0.4363,0.689
738548.411838889,-0.1412,0.1096,-0.4336,0.6844
738548.411841276,-0.1413,0.1083,-0.4306,0.6802
738548.411843583,-0.141,0.1069,-0.428,0.6759
738548.411845666,-0.1411,0.106,-0.4258,0.6729
738548.411847735,-0.141,0.1041,-0.4238,0.6689
738548.411849816,-0.1407,0.1034,-0.422,0.6661
738548.411851926,-0.1405,0.1017,-0.4204,0.6626
738548.411853945,-0.1403,0.1007,-0.419,0.66
738548.411855935,-0.1399,0.0988,-0.4179,0.6566
738548.411858368,-0.1395,0.0975,-0.4167,0.6537
738548.411860651,-0.1388,0.0961,-0.4159,0.6508
738548.411862634,-0.1385,0.095,-0.4154,0.6489
738548.411864882,-0.1378,0.0934,-0.415,0.6462
738548.411866926,-0.1372,0.0925,-0.4149,0.6446
738548.411869196,-0.1363,0.0911,-0.415,0.6424
738548.411871492,-0.1354,0.0896,-0.4153,0.6403
738548.411873505,-0.1347,0.0887,-0.4158,0.6392
738548.411875723,-0.1339,0.0869,-0.4165,0.6373
738548.411878003,-0.1329,0.0853,-0.4175,0.6357
738548.411880076,-0.1318,0.0846,-0.4186,0.635
738548.411882363,-0.1306,0.083,-0.42,0.6336
738548.411884684,-0.1293,0.0817,-0.4216,0.6326
738548.411887022,-0.1281,0.0801,-0.4234,0.6316
738548.411889042,-0.1269,0.0792,-0.4252,0.6313
738548.411891146,-0.1258,0.0782,-0.4272,0.6312
738548.411893265,-0.1245,0.0775,-0.4294,0.6314
738548.41189559,-0.1229,0.0761,-0.432,0.631
738548.411897931,-0.1215,0.0745,-0.4347,0.6307
738548.411900215,-0.1198,0.0742,-0.4377,0.6317
738548.411902535,-0.1182,0.0726,-0.4407,0.6315
738548.411904832,-0.1163,0.0722,-0.4439,0.6324
738548.411906761,-0.115,0.0711,-0.4468,0.6329
738548.411909023,-0.1133,0.0705,-0.4502,0.634
738548.411911292,-0.1115,0.0689,-0.4537,0.6341
738548.411913291,-0.1098,0.069,-0.4569,0.6357
738548.41191553,-0.108,0.0684,-0.4606,0.637
738548.411917902,-0.1063,0.0669,-0.4645,0.6377
738548.411920202,-0.1042,0.0665,-0.4685,0.6392
738548.411922229,-0.1028,0.0664,-0.4721,0.6413
738548.411924524,-0.1006,0.066,-0.4762,0.6428
738548.411926838,-0.0988,0.0654,-0.4804,0.6446
738548.41192886,-0.097,0.0645,-0.4842,0.6457
738548.411931121,-0.0951,0.0649,-0.4884,0.6484
738548.411933379,-0.0931,0.0644,-0.4926,0.6501
738548.411935627,-0.091,0.0638,-0.4968,0.6516
738548.411937637,-0.0894,0.0637,-0.5006,0.6537
738548.411940004,-0.0873,0.0633,-0.5051,0.6557
738548.411942002,-0.0854,0.0634,-0.5089,0.6577
738548.411943937,-0.0837,0.0633,-0.5125,0.6595
738548.411945931,-0.0818,0.0634,-0.5163,0.6615
738548.411948192,-0.0797,0.0628,-0.5204,0.6629
738548.411950397,-0.0777,0.0633,-0.5247,0.6657
738548.411952669,-0.0758,0.0625,-0.5289,0.6672
738548.411954661,-0.074,0.0626,-0.5327,0.6693
738548.411956619,-0.0721,0.0627,-0.5364,0.6712
738548.411958996,-0.0702,0.0631,-0.5407,0.674
738548.411961041,-0.0684,0.0632,-0.5445,0.6761
738548.411963318,-0.0664,0.0637,-0.5486,0.6787
738548.411965641,-0.0641,0.0633,-0.5527,0.6801
738548.41196794,-0.0622,0.0638,-0.5567,0.6827
738548.411970192,-0.0602,0.0632,-0.5605,0.6839
738548.411972376,-0.0583,0.0635,-0.5641,0.6859
738548.411974575,-0.0565,0.0637,-0.5676,0.6878
738548.411976792,-0.0545,0.0642,-0.5711,0.6898
738548.411979024,-0.0527,0.0645,-0.5745,0.6917
738548.411981298,-0.0508,0.0649,-0.578,0.6937
738548.411983313,-0.0489,0.065,-0.5808,0.6947
