time_dn,glideslope_error_deg,localizer_error_deg,airspeed_error_kts,total_error
738506.441124314,-0.0976,0.1816,-0.0264,0.3056
738506.441126495,-0.0965,0.1813,-0.465,0.7428
738506.441128667,-0.0941,0.1805,-0.9075,1.1821
738506.441130789,-0.0915,0.1806,-1.044,1.3161
738506.441132886,-0.0893,0.1797,-1.0349,1.3039
738506.441135006,-0.0871,0.1787,-0.9571,1.2229
738506.441137129,-0.0849,0.1788,-0.8438,1.1075
738506.441139311,-0.0826,0.178,-0.728,0.9886
738506.441141537,-0.0807,0.1772,-0.6489,0.9068
738506.441143781,-0.0793,0.1773,-0.6305,0.8871
738506.441146134,-0.078,0.1767,-0.6492,0.9039
738506.441148276,-0.0772,0.1757,-0.6656,0.9185
738506.441150617,-0.0769,0.1751,-0.6792,0.9312
738506.441152733,-0.077,0.175,-0.7017,0.9537
738506.441154829,-0.0772,0.174,-0.7362,0.9874
738506.441156952,-0.078,0.173,-0.7643,1.0153
738506.441159295,-0.0791,0.1724,-0.7603,1.0118
738506.441161502,-0.0802,0.1716,-0.7168,0.9686
738506.441163702,-0.0812,0.1708,-0.66,0.912
738506.441165856,-0.0831,0.1698,-0.6314,0.8843
738506.441168089,-0.0853,0.169,-0.643,0.8973
738506.441170097,-0.0875,0.1688,-0.6648,0.9211
738506.441172406,-0.0899,0.1681,-0.6753,0.9333
738506.441174749,-0.0931,0.1673,-0.6679,0.9283
738506.441176836,-0.0959,0.1663,-0.6683,0.9305
738506.441179178,-0.0994,0.1655,-0.6895,0.9544
738506.441181291,-0.1027,0.1647,-0.7121,0.9795
738506.441183428,-0.1066,0.1637,-0.7118,0.9821
738506.441185575,-0.1107,0.1627,-0.6846,0.958
738506.44118786,-0.1155,0.1621,-0.6539,0.9315
738506.441190066,-0.12,0.1612,-0.6545,0.9357
738506.441192232,-0.1249,0.1604,-0.6879,0.9732
738506.441194511,-0.1308,0.1596,-0.7367,1.0271
738506.441196776,-0.1365,0.1589,-0.7667,1.0621
738506.441198946,-0.1425,0.158,-0.7601,1.0606
738506.441201006,-0.1481,0.157,-0.7404,1.0455
738506.441203035,-0.1538,0.156,-0.7273,1.0371
738506.441205405,-0.1606,0.1553,-0.7066,1.0225
738506.441207772,-0.1677,0.1547,-0.645,0.9674
738506.441209879,-0.1738,0.1537,-0.5601,0.8876
738506.44121241,-0.1808,0.1532,-0.4526,0.7866
738506.441214495,-0.187,0.1524,-0.3658,0.7052
738506.441216552,-0.1925,0.1525,-0.3025,0.6475
738506.441218677,-0.1978,0.1515,-0.2649,0.6142
738506.441220948,-0.2033,0.1519,-0.2541,0.6093
738506.44122316,-0.2087,0.1511,-0.2649,0.6247
738506.441225663,-0.2134,0.1512,-0.2726,0.6372
738506.441227894,-0.2181,0.1499,-0.271,0.639
738506.441230127,-0.2224,0.1502,-0.2814,0.654
738506.44123239,-0.2265,0.1494,-0.3121,0.688
738506.441234345,-0.2297,0.1493,-0.3342,0.7132
738506.441236665,-0.2329,0.1488,-0.3139,0.6956
738506.441238892,-0.2361,0.148,-0.2545,0.6386
738506.441241116,-0.2387,0.1473,-0.1959,0.5819
738506.441243457,-0.2409,0.1469,-0.1713,0.5591
738506.441245724,-0.2433,0.1462,-0.1809,0.5704
738506.441247943,-0.246,0.1454,-0.2009,0.5923
738506.441250163,-0.248,0.1447,-0.2165,0.6092
