time_dn,ecg_projection_ll_ra_mV,ecg_projection_la_ra_mV,ecg_projection_vx_rl_mV
738279.50120277865789830685,13.7493006174912,-12.4568417411827,338.808862575152
738279.50120286911260336637,13.7616097496465,-12.4568417411827,338.833480839462
738279.50120295956730842590,13.7739188818018,-12.469150873338,338.808862575152
738279.50120305002201348543,13.7739188818018,-12.4814600054933,338.784244310841
738279.50120314036030322313,13.7862280139571,-12.4814600054933,338.808862575152
738279.50120323081500828266,13.7985371461124,-12.469150873338,338.685771253599
738279.50120332126971334219,13.7985371461124,-12.469150873338,338.648843857133
738279.50120341172441840172,13.7985371461124,-12.4568417411827,338.73500778222
738279.50120350217912346125,13.7985371461124,-12.4568417411827,338.796553442997
738279.50120359263382852077,13.7985371461124,-12.4445326090274,338.784244310841
738279.50120368308853358030,13.8108462782678,-12.4445326090274,338.698080385754
738279.50120377342682331800,13.8108462782678,-12.4322234768721,338.636534724977
738279.50120386388152837753,13.8231554104231,-12.4199143447167,338.710389517909
738279.50120395433623343706,13.8231554104231,-12.4199143447167,338.685771253599
738279.50120404479093849659,13.8354645425784,-12.3952960804061,338.73500778222
738279.50120413524564355612,13.8477736747337,-12.3829869482508,338.710389517909
738279.50120422570034861565,13.860082806889,-12.3583686839401,338.759626046531
738279.50120431615505367517,13.860082806889,-12.3583686839401,338.685771253599
738279.50120440649334341288,13.860082806889,-12.3337504196295,338.747316914375
738279.50120449694804847240,13.8723919390444,-12.3214412874742,338.759626046531
738279.50120458740275353193,13.897010203355,-12.2845138910082,338.73500778222
738279.50120467785745859146,13.9093193355103,-12.2598956266976,338.73500778222
738279.50120476831216365099,13.9216284676656,-12.235277362387,338.759626046531
738279.50120485876686871052,13.9462467319763,-12.2106590980763,338.747316914375
738279.50120494910515844822,13.9462467319763,-12.1860408337657,338.759626046531
738279.50120503955986350775,13.9708649962869,-12.161422569455,338.73500778222
738279.50120513001456856728,13.9708649962869,-12.1491134372997,338.722698650065
738279.50120522046927362680,13.9708649962869,-12.1491134372997,338.73500778222
738279.50120531092397868633,13.9708649962869,-12.1491134372997,338.759626046531
738279.50120540137868374586,13.9708649962869,-12.161422569455,338.722698650065
738279.50120549183338880539,13.9585558641316,-12.1860408337657,338.771935178686
738279.50120558217167854309,13.933937599821,-12.235277362387,338.796553442997
738279.50120567262638360262,13.897010203355,-12.2845138910082,338.636534724977
738279.50120576308108866215,13.8847010711997,-12.3337504196295,338.722698650065
738279.50120585353579372168,13.8477736747337,-12.3829869482508,338.759626046531
738279.50120594399049878120,13.8231554104231,-12.4199143447167,338.710389517909
738279.50120603444520384073,13.7985371461124,-12.4445326090274,338.722698650065
738279.50120612489990890026,13.7985371461124,-12.469150873338,338.698080385754
738279.50120621523819863796,13.7862280139571,-12.4814600054933,338.698080385754
738279.50120630569290369749,13.7739188818018,-12.506078269804,338.710389517909
738279.50120639614760875702,13.7739188818018,-12.506078269804,338.698080385754
738279.50120648660231381655,13.7739188818018,-12.506078269804,338.73500778222
738279.50120657705701887608,13.7739188818018,-12.5183874019593,338.722698650065
738279.50120666751172393560,13.7616097496465,-12.5306965341146,338.698080385754
738279.50120675785001367331,13.7739188818018,-12.5183874019593,338.636534724977
738279.50120684830471873283,13.7739188818018,-12.506078269804,338.648843857133
738279.50120693875942379236,13.7739188818018,-12.506078269804,338.759626046531
738279.50120702921412885189,13.7739188818018,-12.506078269804,338.796553442997
738279.50120711966883391142,13.7739188818018,-12.5183874019593,338.833480839462
738279.50120721012353897095,13.7739188818018,-12.5183874019593,338.710389517909
738279.50120730057824403048,13.7862280139571,-12.506078269804,338.808862575152
738279.50120739091653376818,13.7739188818018,-12.506078269804,338.821171707307
738279.50120748137123882771,13.7862280139571,-12.506078269804,338.796553442997
738279.50120757182594388723,13.7739188818018,-12.506078269804,338.771935178686
738279.50120766228064894676,13.7862280139571,-12.5183874019593,338.845789971618
738279.50120775273535400629,13.7739188818018,-12.5183874019593,338.759626046531
738279.50120784319005906582,13.7739188818018,-12.5183874019593,338.784244310841
738279.50120793352834880352,13.7739188818018,-12.5183874019593,338.821171707307
738279.50120802398305386305,13.7739188818018,-12.5183874019593,338.845789971618
738279.50120811443775892258,13.7739188818018,-12.5306965341146,338.784244310841
738279.50120820489246398211,13.7739188818018,-12.5306965341146,338.796553442997
738279.50120829534716904163,13.7739188818018,-12.5430056662699,338.833480839462
738279.50120838580187410116,13.7739188818018,-12.5306965341146,338.808862575152
738279.50120847625657916069,13.7739188818018,-12.5430056662699,338.73500778222
738279.50120856659486889839,13.7739188818018,-12.5430056662699,338.808862575152
738279.50120865704957395792,13.7739188818018,-12.5430056662699,338.821171707307
738279.50120874750427901745,13.7616097496465,-12.5553147984252,338.747316914375
738279.50120883795898407698,13.7739188818018,-12.5430056662699,338.784244310841
738279.50120892841368913651,13.7739188818018,-12.5430056662699,338.858099103773
738279.50120901886839419603,13.7739188818018,-12.5430056662699,338.685771253599
738279.50120910932309925556,13.7739188818018,-12.5553147984252,338.648843857133
738279.50120919966138899326,13.7616097496465,-12.5553147984252,338.710389517909
738279.50120929011609405279,13.7616097496465,-12.5553147984252,338.73500778222
738279.50120938057079911232,13.7616097496465,-12.5553147984252,338.710389517909
738279.50120947102550417185,13.7616097496465,-12.5676239305806,338.73500778222
738279.50120956148020923138,13.7616097496465,-12.5676239305806,338.759626046531
738279.50120965193491429090,13.7616097496465,-12.5553147984252,338.771935178686
738279.50120974227320402861,13.7616097496465,-12.5553147984252,338.833480839462
738279.50120983272790908813,13.7616097496465,-12.5676239305806,338.784244310841
